variant,entity,stress,topo,precision,recall,f1
A5,CU,CPU,cu0_du0du1,0.9263,1.0000,0.9617
A5,CU,CPU,cu1_du2,0.9779,1.0000,0.9888
A5,CU,CPU,cu2_du3du4du5,0.9415,1.0000,0.9699
A5,CU,MEM,cu0_du0du1,0.9465,1.0000,0.9725
A5,CU,MEM,cu1_du2,0.9725,1.0000,0.9861
A5,CU,MEM,cu2_du3du4du5,0.9409,0.9887,0.9642
A5,CU,NET,cu0_du0du1,0.9319,0.9944,0.9622
A5,CU,NET,cu1_du2,0.9444,0.3820,0.5440
A5,CU,NET,cu2_du3du4du5,0.8472,0.3408,0.4861
A5,DU,CPU,cu0_du0du1,0.9054,1.0000,0.9503
A5,DU,CPU,cu1_du2,0.9516,1.0000,0.9752
A5,DU,CPU,cu2_du3du4du5,0.9515,1.0000,0.9752
A5,DU,MEM,cu0_du0du1,0.9340,1.0000,0.9659
A5,DU,MEM,cu1_du2,0.9779,1.0000,0.9888
A5,DU,MEM,cu2_du3du4du5,0.9632,0.9887,0.9758
A5,DU,NET,cu0_du0du1,0.9269,0.9916,0.9582
A5,DU,NET,cu1_du2,0.9570,0.9944,0.9753
A5,DU,NET,cu2_du3du4du5,0.9484,0.9926,0.9700
