stress_type,test_topo,entity,anom,tp,fp,fn,precision,recall,f1,rc_correct,rc_total,rc_pct,dominant_rc
CPU,cu0_du0du1,CU,177,177,5,0,0.9725,1.0000,0.9861,177,177,100.0,cpu
CPU,cu0_du0du1,DU_0,0,0,3,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu0_du0du1,DU_1,0,0,2,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu0_du0du1,ANY,177,177,7,0,0.9620,1.0000,0.9806,,,,
CPU,cu1_du2,CU,177,177,842,0,0.1737,1.0000,0.2960,177,177,100.0,cpu
CPU,cu1_du2,DU_0,0,0,77,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu1_du2,ANY,177,177,891,0,0.1657,1.0000,0.2843,,,,
CPU,cu2_du3du4du5,CU,177,177,956,0,0.1562,1.0000,0.2702,177,177,100.0,cpu
CPU,cu2_du3du4du5,DU_0,0,0,7,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu2_du3du4du5,DU_1,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu2_du3du4du5,DU_2,0,0,7,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu2_du3du4du5,ANY,177,177,959,0,0.1558,1.0000,0.2696,,,,
MEM,cu0_du0du1,CU,0,0,8,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu0_du0du1,DU_0,177,177,152,0,0.5380,1.0000,0.6996,157,177,88.7,mem_bytes
MEM,cu0_du0du1,DU_1,177,177,347,0,0.3378,1.0000,0.5050,174,177,98.3,mem_bytes
MEM,cu0_du0du1,ANY,354,354,367,0,0.4910,1.0000,0.6586,,,,
MEM,cu1_du2,CU,0,0,18,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu1_du2,DU_0,177,177,578,0,0.2344,1.0000,0.3798,174,177,98.3,mem_bytes
MEM,cu1_du2,ANY,177,177,591,0,0.2305,1.0000,0.3746,,,,
MEM,cu2_du3du4du5,CU,0,0,3053,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu2_du3du4du5,DU_0,177,177,15,0,0.9219,1.0000,0.9593,172,177,97.2,mem_bytes
MEM,cu2_du3du4du5,DU_1,176,176,18,0,0.9072,1.0000,0.9514,176,176,100.0,mem_bytes
MEM,cu2_du3du4du5,DU_2,177,177,17,0,0.9124,1.0000,0.9542,174,177,98.3,mem_bytes
MEM,cu2_du3du4du5,ANY,530,530,2526,0,0.1734,1.0000,0.2956,,,,
CPU,cu0_du0du1,CU,0,0,12,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu0_du0du1,DU_0,177,177,14,0,0.9267,1.0000,0.9620,177,177,100.0,cpu
CPU,cu0_du0du1,DU_1,177,177,14,0,0.9267,1.0000,0.9620,177,177,100.0,cpu
CPU,cu0_du0du1,ANY,354,354,24,0,0.9365,1.0000,0.9672,,,,
CPU,cu1_du2,CU,0,0,16,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu1_du2,DU_0,177,177,280,0,0.3873,1.0000,0.5584,177,177,100.0,cpu
CPU,cu1_du2,ANY,177,177,294,0,0.3758,1.0000,0.5463,,,,
CPU,cu2_du3du4du5,CU,0,0,2454,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu2_du3du4du5,DU_0,177,177,15,0,0.9219,1.0000,0.9593,177,177,100.0,cpu
CPU,cu2_du3du4du5,DU_1,176,176,7,0,0.9617,1.0000,0.9805,176,176,100.0,cpu
CPU,cu2_du3du4du5,DU_2,177,177,17,0,0.9124,1.0000,0.9542,177,177,100.0,cpu
CPU,cu2_du3du4du5,ANY,530,530,1934,0,0.2151,1.0000,0.3540,,,,
NET,cu0_du0du1,CU,0,0,284,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu0_du0du1,DU_0,179,177,8,2,0.9568,0.9888,0.9725,4,177,2.3,pci_19
NET,cu0_du0du1,DU_1,179,178,7,1,0.9622,0.9944,0.9780,13,178,7.3,pci_19
NET,cu0_du0du1,ANY,358,356,15,2,0.9596,0.9944,0.9767,,,,
NET,cu1_du2,CU,0,0,116,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu1_du2,DU_0,179,177,240,2,0.4245,0.9888,0.5940,177,177,100.0,net_tx
NET,cu1_du2,ANY,179,177,248,2,0.4165,0.9888,0.5861,,,,
NET,cu2_du3du4du5,CU,0,0,1722,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,DU_0,179,178,10,1,0.9468,0.9944,0.9700,161,178,90.4,net_rx
NET,cu2_du3du4du5,DU_1,179,178,8,1,0.9570,0.9944,0.9753,178,178,100.0,net_rx
NET,cu2_du3du4du5,DU_2,179,178,10,1,0.9468,0.9944,0.9700,177,178,99.4,net_rx
NET,cu2_du3du4du5,ANY,537,536,1374,1,0.2806,0.9981,0.4381,,,,
MEM,cu0_du0du1,CU,177,177,3,0,0.9833,1.0000,0.9916,176,177,99.4,mem_bytes
MEM,cu0_du0du1,DU_0,0,0,1794,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu0_du0du1,DU_1,0,0,1794,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu0_du0du1,ANY,177,177,1617,0,0.0987,1.0000,0.1796,,,,
MEM,cu1_du2,CU,177,177,845,0,0.1732,1.0000,0.2952,171,177,96.6,mem_bytes
MEM,cu1_du2,DU_0,0,0,1794,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu1_du2,ANY,177,177,1617,0,0.0987,1.0000,0.1796,,,,
MEM,cu2_du3du4du5,CU,177,177,1208,0,0.1278,1.0000,0.2266,177,177,100.0,mem_bytes
MEM,cu2_du3du4du5,DU_0,0,0,1794,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu2_du3du4du5,DU_1,0,0,1794,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu2_du3du4du5,DU_2,0,0,1794,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu2_du3du4du5,ANY,177,177,1617,0,0.0987,1.0000,0.1796,,,,
NET,cu0_du0du1,CU,179,178,9,1,0.9519,0.9944,0.9727,178,178,100.0,net_diff
NET,cu0_du0du1,DU_0,0,0,11,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu0_du0du1,DU_1,0,0,6,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu0_du0du1,ANY,179,178,18,1,0.9082,0.9944,0.9493,,,,
NET,cu1_du2,CU,179,136,14,43,0.9067,0.7598,0.8267,102,136,75.0,net_diff
NET,cu1_du2,DU_0,0,0,29,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu1_du2,ANY,179,137,42,42,0.7654,0.7654,0.7654,,,,
NET,cu2_du3du4du5,CU,179,161,574,18,0.2190,0.8994,0.3523,64,161,39.8,mem_bytes
NET,cu2_du3du4du5,DU_0,0,0,8,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,DU_1,0,0,2,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,DU_2,0,0,7,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,ANY,179,161,579,18,0.2176,0.8994,0.3504,,,,
