stress_type,test_topo,entity,anom,tp,fp,fn,precision,recall,f1,rc_correct,rc_total,rc_pct,dominant_rc
CPU,cu0_du0du1,CU,117,117,7,0,0.9435,1.0000,0.9710,117,117,100.0,cpu
CPU,cu0_du0du1,DU_0,0,0,2,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu0_du0du1,DU_1,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu0_du0du1,ANY,117,117,9,0,0.9286,1.0000,0.9630,,,,
CPU,cu1_du2,CU,117,117,4,0,0.9669,1.0000,0.9832,117,117,100.0,cpu
CPU,cu1_du2,DU_0,0,0,2,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu1_du2,ANY,117,117,5,0,0.9590,1.0000,0.9791,,,,
CPU,cu2_du3du4du5,CU,117,117,8,0,0.9360,1.0000,0.9669,117,117,100.0,cpu
CPU,cu2_du3du4du5,DU_0,0,0,2,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu2_du3du4du5,DU_1,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu2_du3du4du5,DU_2,0,0,2,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu2_du3du4du5,ANY,117,117,8,0,0.9360,1.0000,0.9669,,,,
CPU,cu0_du0du1,CU,177,177,10,0,0.9465,1.0000,0.9725,177,177,100.0,cpu
CPU,cu0_du0du1,DU_0,0,0,5,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu0_du0du1,DU_1,0,0,3,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu0_du0du1,ANY,177,177,11,0,0.9415,1.0000,0.9699,,,,
CPU,cu1_du2,CU,177,177,4,0,0.9779,1.0000,0.9888,177,177,100.0,cpu
CPU,cu1_du2,DU_0,0,0,4,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu1_du2,ANY,177,177,8,0,0.9568,1.0000,0.9779,,,,
CPU,cu2_du3du4du5,CU,177,177,15,0,0.9219,1.0000,0.9593,177,177,100.0,cpu
CPU,cu2_du3du4du5,DU_0,0,0,5,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu2_du3du4du5,DU_1,0,0,4,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu2_du3du4du5,DU_2,0,0,4,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu2_du3du4du5,ANY,177,177,15,0,0.9219,1.0000,0.9593,,,,
CPU,cu0_du0du1,CU,177,177,8,0,0.9568,1.0000,0.9779,177,177,100.0,cpu
CPU,cu0_du0du1,DU_0,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu0_du0du1,DU_1,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu0_du0du1,ANY,177,177,8,0,0.9568,1.0000,0.9779,,,,
CPU,cu1_du2,CU,177,177,4,0,0.9779,1.0000,0.9888,177,177,100.0,cpu
CPU,cu1_du2,DU_0,0,0,1,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu1_du2,ANY,177,177,5,0,0.9725,1.0000,0.9861,,,,
CPU,cu2_du3du4du5,CU,176,176,9,0,0.9514,1.0000,0.9751,176,176,100.0,cpu
CPU,cu2_du3du4du5,DU_0,0,0,3,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu2_du3du4du5,DU_1,0,0,2,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu2_du3du4du5,DU_2,0,0,4,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu2_du3du4du5,ANY,176,176,10,0,0.9462,1.0000,0.9724,,,,
MEM,cu0_du0du1,CU,177,177,6,0,0.9672,1.0000,0.9833,0,177,0.0,cpu
