stress_type,test_topo,entity,anom,tp,fp,fn,precision,recall,f1,rc_correct,rc_total,rc_pct,dominant_rc
CPU,cu0_du0du1,CU,117,117,7,0,0.9435,1.0000,0.9710,117,117,100.0,cpu
CPU,cu0_du0du1,DU_0,0,0,2,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu0_du0du1,DU_1,0,0,2,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu0_du0du1,ANY,117,117,9,0,0.9286,1.0000,0.9630,,,,
CPU,cu1_du2,CU,117,117,4,0,0.9669,1.0000,0.9832,117,117,100.0,cpu
CPU,cu1_du2,DU_0,0,0,2,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu1_du2,ANY,117,117,5,0,0.9590,1.0000,0.9791,,,,
CPU,cu2_du3du4du5,CU,117,117,7,0,0.9435,1.0000,0.9710,117,117,100.0,cpu
CPU,cu2_du3du4du5,DU_0,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu2_du3du4du5,DU_1,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu2_du3du4du5,DU_2,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu2_du3du4du5,ANY,117,117,7,0,0.9435,1.0000,0.9710,,,,
