stress_type,test_topo,entity,anom,tp,fp,fn,precision,recall,f1,rc_correct,rc_total,rc_pct,dominant_rc
MEM,cu0_du0du1,CU,116,116,7,0,0.9431,1.0000,0.9707,0,116,0.0,cpu
MEM,cu0_du0du1,DU_0,0,0,1,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu0_du0du1,DU_1,0,0,1,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu0_du0du1,ANY,116,116,7,0,0.9431,1.0000,0.9707,,,,
MEM,cu1_du2,CU,117,117,3,0,0.9750,1.0000,0.9873,0,117,0.0,cpu
MEM,cu1_du2,DU_0,0,0,3,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu1_du2,ANY,117,117,5,0,0.9590,1.0000,0.9791,,,,
MEM,cu2_du3du4du5,CU,117,116,5,1,0.9587,0.9915,0.9748,0,116,0.0,cpu
MEM,cu2_du3du4du5,DU_0,0,0,1,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu2_du3du4du5,DU_1,0,0,2,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu2_du3du4du5,DU_2,0,0,1,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu2_du3du4du5,ANY,117,116,5,1,0.9587,0.9915,0.9748,,,,
