stress_type,test_topo,entity,anom,tp,fp,fn,precision,recall,f1,rc_correct,rc_total,rc_pct,dominant_rc
NET,cu0_du0du1,CU,119,111,4,8,0.9652,0.9328,0.9487,111,111,100.0,net_diff
NET,cu0_du0du1,DU_0,0,0,2,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu0_du0du1,DU_1,0,0,1,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu0_du0du1,ANY,119,111,7,8,0.9407,0.9328,0.9367,,,,
NET,cu1_du2,CU,119,107,3,12,0.9727,0.8992,0.9345,107,107,100.0,net_diff
NET,cu1_du2,DU_0,0,0,1,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu1_du2,ANY,119,107,3,12,0.9727,0.8992,0.9345,,,,
NET,cu2_du3du4du5,CU,119,117,4,2,0.9669,0.9832,0.9750,117,117,100.0,net_diff
NET,cu2_du3du4du5,DU_0,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,DU_1,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,DU_2,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
NET,cu2_du3du4du5,ANY,119,117,4,2,0.9669,0.9832,0.9750,,,,
