stress_type,test_topo,entity,anom,tp,fp,fn,precision,recall,f1,rc_correct,rc_total,rc_pct,dominant_rc
CPU,cu0_du0du1,CU,0,0,16,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu0_du0du1,DU_0,177,177,13,0,0.9316,1.0000,0.9646,177,177,100.0,cpu
CPU,cu0_du0du1,DU_1,177,177,10,0,0.9465,1.0000,0.9725,177,177,100.0,cpu
CPU,cu0_du0du1,ANY,354,354,33,0,0.9147,1.0000,0.9555,,,,
CPU,cu1_du2,CU,0,0,2,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu1_du2,DU_0,177,177,9,0,0.9516,1.0000,0.9752,177,177,100.0,cpu
CPU,cu1_du2,ANY,177,177,10,0,0.9465,1.0000,0.9725,,,,
CPU,cu2_du3du4du5,CU,0,0,15,0,0.0000,0.0000,0.0000,0,0,,—
CPU,cu2_du3du4du5,DU_0,177,177,4,0,0.9779,1.0000,0.9888,177,177,100.0,cpu
CPU,cu2_du3du4du5,DU_1,176,176,6,0,0.9670,1.0000,0.9832,176,176,100.0,cpu
CPU,cu2_du3du4du5,DU_2,177,177,2,0,0.9888,1.0000,0.9944,177,177,100.0,cpu
CPU,cu2_du3du4du5,ANY,530,530,26,0,0.9532,1.0000,0.9761,,,,
