stress_type,test_topo,entity,anom,tp,fp,fn,precision,recall,f1,rc_correct,rc_total,rc_pct,dominant_rc
MEM,cu0_du0du1,CU,0,0,11,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu0_du0du1,DU_0,177,177,16,0,0.9171,1.0000,0.9568,168,177,94.9,mem_bytes
MEM,cu0_du0du1,DU_1,177,177,9,0,0.9516,1.0000,0.9752,145,177,81.9,mem_bytes
MEM,cu0_du0du1,ANY,354,354,25,0,0.9340,1.0000,0.9659,,,,
MEM,cu1_du2,CU,0,0,0,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu1_du2,DU_0,177,177,3,0,0.9833,1.0000,0.9916,145,177,81.9,mem_bytes
MEM,cu1_du2,ANY,177,177,3,0,0.9833,1.0000,0.9916,,,,
MEM,cu2_du3du4du5,CU,0,0,11,0,0.0000,0.0000,0.0000,0,0,,—
MEM,cu2_du3du4du5,DU_0,176,174,4,2,0.9775,0.9886,0.9831,172,174,98.9,mem_bytes
MEM,cu2_du3du4du5,DU_1,177,177,2,0,0.9888,1.0000,0.9944,160,177,90.4,mem_bytes
MEM,cu2_du3du4du5,DU_2,177,177,6,0,0.9672,1.0000,0.9833,168,177,94.9,mem_bytes
MEM,cu2_du3du4du5,ANY,530,528,20,2,0.9635,0.9962,0.9796,,,,
