ablation,test_topology,train_topologies,entity,precision,recall,f1,tp,fp,fn,threshold,stress_type
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,CU,0.000000,0.000000,0.000000,0,1,0,242.285476,1
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_0,0.931579,1.000000,0.964578,177,13,0,251.470940,1
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_1,0.972527,1.000000,0.986072,177,5,0,251.470940,1
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,ANY,0.951613,1.000000,0.975207,354,18,0,,1
A1_no_topology_normalization,cu1_du2,cu0_du0du1+cu2_du3du4du5,CU,0.000000,0.000000,0.000000,0,1,0,234.183740,1
A1_no_topology_normalization,cu1_du2,cu0_du0du1+cu2_du3du4du5,DU_0,0.972527,1.000000,0.986072,177,5,0,255.872016,1
A1_no_topology_normalization,cu1_du2,cu0_du0du1+cu2_du3du4du5,ANY,0.967213,1.000000,0.983333,177,6,0,,1
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,CU,0.000000,0.000000,0.000000,0,2102,0,248.628117,1
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_0,0.977901,1.000000,0.988827,177,4,0,239.476821,1
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_1,0.977778,1.000000,0.988764,176,4,0,239.476821,1
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_2,0.983333,1.000000,0.991597,177,3,0,239.476821,1
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,ANY,0.234929,1.000000,0.380474,530,1726,0,,1
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,CU,0.977901,1.000000,0.988827,177,4,0,242.285476,1
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_0,0.000000,0.000000,0.000000,0,1,0,251.470940,1
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_1,0.000000,0.000000,0.000000,0,0,0,251.470940,1
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,ANY,0.972527,1.000000,0.986072,177,5,0,,1
A1_no_topology_normalization,cu1_du2,cu0_du0du1+cu2_du3du4du5,CU,0.972527,1.000000,0.986072,177,5,0,234.183740,1
A1_no_topology_normalization,cu1_du2,cu0_du0du1+cu2_du3du4du5,DU_0,0.000000,0.000000,0.000000,0,0,0,255.872016,1
A1_no_topology_normalization,cu1_du2,cu0_du0du1+cu2_du3du4du5,ANY,0.972527,1.000000,0.986072,177,5,0,,1
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,CU,0.170378,1.000000,0.291150,176,857,0,248.628117,1
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_0,0.000000,0.000000,0.000000,0,0,0,239.476821,1
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_1,0.000000,0.000000,0.000000,0,0,0,239.476821,1
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_2,0.000000,0.000000,0.000000,0,0,0,239.476821,1
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,ANY,0.170378,1.000000,0.291150,176,857,0,,1
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,CU,0.977901,1.000000,0.988827,177,4,0,242.285476,2
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_0,0.000000,0.000000,0.000000,0,4,0,251.470940,2
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_1,0.000000,0.000000,0.000000,0,0,0,251.470940,2
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,ANY,0.956757,1.000000,0.977901,177,8,0,,2
A1_no_topology_normalization,cu1_du2,cu0_du0du1+cu2_du3du4du5,CU,0.972527,1.000000,0.986072,177,5,0,234.183740,2
A1_no_topology_normalization,cu1_du2,cu0_du0du1+cu2_du3du4du5,DU_0,0.000000,0.000000,0.000000,0,0,0,255.872016,2
A1_no_topology_normalization,cu1_du2,cu0_du0du1+cu2_du3du4du5,ANY,0.972527,1.000000,0.986072,177,5,0,,2
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,CU,0.176295,1.000000,0.299746,177,827,0,248.628117,2
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_0,0.000000,0.000000,0.000000,0,0,0,239.476821,2
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_1,0.000000,0.000000,0.000000,0,0,0,239.476821,2
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_2,0.000000,0.000000,0.000000,0,0,0,239.476821,2
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,ANY,0.176295,1.000000,0.299746,177,827,0,,2
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,CU,0.000000,0.000000,0.000000,0,0,0,242.285476,2
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_0,0.967213,1.000000,0.983333,177,6,0,251.470940,2
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_1,0.967213,1.000000,0.983333,177,6,0,251.470940,2
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,ANY,0.969863,1.000000,0.984701,354,11,0,,2
A1_no_topology_normalization,cu1_du2,cu0_du0du1+cu2_du3du4du5,CU,0.000000,0.000000,0.000000,0,1,0,234.183740,2
A1_no_topology_normalization,cu1_du2,cu0_du0du1+cu2_du3du4du5,DU_0,0.967033,1.000000,0.983240,176,6,0,255.872016,2
A1_no_topology_normalization,cu1_du2,cu0_du0du1+cu2_du3du4du5,ANY,0.961749,1.000000,0.980501,176,7,0,,2
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,CU,0.000000,0.000000,0.000000,0,2508,0,248.628117,2
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_0,0.983333,1.000000,0.991597,177,3,0,239.476821,2
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_1,0.972376,1.000000,0.985994,176,5,0,239.476821,2
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_2,0.977901,1.000000,0.988827,177,4,0,239.476821,2
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,ANY,0.211071,1.000000,0.348570,530,1981,0,,2
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,CU,0.000000,0.000000,0.000000,0,234,0,242.285476,3
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_0,0.908163,1.000000,0.951872,178,18,0,251.470940,3
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_1,0.972678,0.994413,0.983425,178,5,1,251.470940,3
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,ANY,0.939314,0.997199,0.967391,356,23,1,,3
A1_no_topology_normalization,cu1_du2,cu0_du0du1+cu2_du3du4du5,CU,0.000000,0.000000,0.000000,0,82,0,234.183740,3
A1_no_topology_normalization,cu1_du2,cu0_du0du1+cu2_du3du4du5,DU_0,0.978022,0.994413,0.986150,178,4,1,255.872016,3
A1_no_topology_normalization,cu1_du2,cu0_du0du1+cu2_du3du4du5,ANY,0.962162,0.994413,0.978022,178,7,1,,3
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,CU,0.000000,0.000000,0.000000,0,2458,0,248.628117,3
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_0,0.978022,0.994413,0.986150,178,4,1,239.476821,3
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_1,0.983333,0.988827,0.986072,177,3,2,239.476821,3
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_2,0.978022,1.000000,0.988889,178,4,0,239.476821,3
A1_no_topology_normalization,cu2_du3du4du5,cu0_du0du1+cu1_du2,ANY,0.213291,1.000000,0.351591,536,1977,0,,3
A1_no_topology_normalization,cu0_du0du1,cu1_du2+cu2_du3du4du5,CU,0.988372,0.949721,0.968661,170,2,9,242.285476,3
