ablation,test_topology,train_topologies,entity,precision,recall,f1,tp,fp,fn,threshold,stress_type
A2_no_type_sharing,cu0_du0du1,cu1_du2+cu2_du3du4du5,CU,0.000000,0.000000,0.000000,0,1,0,218.768688,1
A2_no_type_sharing,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_0,0.936508,1.000000,0.967213,177,12,0,248.900136,1
A2_no_type_sharing,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_1,0.977901,1.000000,0.988827,177,4,0,248.900136,1
A2_no_type_sharing,cu0_du0du1,cu1_du2+cu2_du3du4du5,ANY,0.954178,1.000000,0.976552,354,17,0,,1
A2_no_type_sharing,cu1_du2,cu0_du0du1+cu2_du3du4du5,CU,0.000000,0.000000,0.000000,0,12,0,251.124391,1
A2_no_type_sharing,cu1_du2,cu0_du0du1+cu2_du3du4du5,DU_0,0.977901,1.000000,0.988827,177,4,0,256.583788,1
A2_no_type_sharing,cu1_du2,cu0_du0du1+cu2_du3du4du5,ANY,0.917098,1.000000,0.956757,177,16,0,,1
A2_no_type_sharing,cu2_du3du4du5,cu0_du0du1+cu1_du2,CU,0.000000,0.000000,0.000000,0,566,0,250.824159,1
A2_no_type_sharing,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_0,0.977901,1.000000,0.988827,177,4,0,243.785574,1
A2_no_type_sharing,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_1,0.977778,1.000000,0.988764,176,4,0,243.785574,1
A2_no_type_sharing,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_2,0.983333,1.000000,0.991597,177,3,0,243.785574,1
A2_no_type_sharing,cu2_du3du4du5,cu0_du0du1+cu1_du2,ANY,0.522682,1.000000,0.686528,530,484,0,,1
A2_no_type_sharing,cu0_du0du1,cu1_du2+cu2_du3du4du5,CU,0.977901,1.000000,0.988827,177,4,0,218.768688,1
A2_no_type_sharing,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_0,0.000000,0.000000,0.000000,0,1,0,248.900136,1
A2_no_type_sharing,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_1,0.000000,0.000000,0.000000,0,0,0,248.900136,1
A2_no_type_sharing,cu0_du0du1,cu1_du2+cu2_du3du4du5,ANY,0.972527,1.000000,0.986072,177,5,0,,1
A2_no_type_sharing,cu1_du2,cu0_du0du1+cu2_du3du4du5,CU,0.951613,1.000000,0.975207,177,9,0,251.124391,1
A2_no_type_sharing,cu1_du2,cu0_du0du1+cu2_du3du4du5,DU_0,0.000000,0.000000,0.000000,0,0,0,256.583788,1
A2_no_type_sharing,cu1_du2,cu0_du0du1+cu2_du3du4du5,ANY,0.951613,1.000000,0.975207,177,9,0,,1
