ablation,test_topology,train_topologies,entity,precision,recall,f1,tp,fp,fn,threshold,stress_type
A3_meanpool_no_attention,cu0_du0du1,cu1_du2+cu2_du3du4du5,CU,0.000000,0.000000,0.000000,0,3,0,204.882041,1
A3_meanpool_no_attention,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_0,0.936508,1.000000,0.967213,177,12,0,249.942025,1
A3_meanpool_no_attention,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_1,0.967213,1.000000,0.983333,177,6,0,249.942025,1
A3_meanpool_no_attention,cu0_du0du1,cu1_du2+cu2_du3du4du5,ANY,0.946524,1.000000,0.972527,354,20,0,,1
A3_meanpool_no_attention,cu1_du2,cu0_du0du1+cu2_du3du4du5,CU,0.000000,0.000000,0.000000,0,0,0,147.398044,1
A3_meanpool_no_attention,cu1_du2,cu0_du0du1+cu2_du3du4du5,DU_0,0.977901,1.000000,0.988827,177,4,0,170.466132,1
A3_meanpool_no_attention,cu1_du2,cu0_du0du1+cu2_du3du4du5,ANY,0.977901,1.000000,0.988827,177,4,0,,1
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,CU,0.000000,0.000000,0.000000,0,7,0,236.651309,1
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_0,0.977901,1.000000,0.988827,177,4,0,246.528036,1
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_1,0.977778,1.000000,0.988764,176,4,0,246.528036,1
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_2,0.977901,1.000000,0.988827,177,4,0,246.528036,1
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,ANY,0.965392,1.000000,0.982391,530,19,0,,1
A3_meanpool_no_attention,cu0_du0du1,cu1_du2+cu2_du3du4du5,CU,0.972527,1.000000,0.986072,177,5,0,204.882041,1
A3_meanpool_no_attention,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_0,0.000000,0.000000,0.000000,0,1,0,249.942025,1
A3_meanpool_no_attention,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_1,0.000000,0.000000,0.000000,0,0,0,249.942025,1
A3_meanpool_no_attention,cu0_du0du1,cu1_du2+cu2_du3du4du5,ANY,0.967213,1.000000,0.983333,177,6,0,,1
A3_meanpool_no_attention,cu1_du2,cu0_du0du1+cu2_du3du4du5,CU,0.713710,1.000000,0.832941,177,71,0,147.398044,1
A3_meanpool_no_attention,cu1_du2,cu0_du0du1+cu2_du3du4du5,DU_0,0.000000,0.000000,0.000000,0,0,0,170.466132,1
A3_meanpool_no_attention,cu1_du2,cu0_du0du1+cu2_du3du4du5,ANY,0.713710,1.000000,0.832941,177,71,0,,1
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,CU,0.951351,1.000000,0.975069,176,9,0,236.651309,1
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_0,0.000000,0.000000,0.000000,0,0,0,246.528036,1
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_1,0.000000,0.000000,0.000000,0,0,0,246.528036,1
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_2,0.000000,0.000000,0.000000,0,0,0,246.528036,1
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,ANY,0.951351,1.000000,0.975069,176,9,0,,1
A3_meanpool_no_attention,cu0_du0du1,cu1_du2+cu2_du3du4du5,CU,0.977901,1.000000,0.988827,177,4,0,204.882041,2
A3_meanpool_no_attention,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_0,0.000000,0.000000,0.000000,0,4,0,249.942025,2
A3_meanpool_no_attention,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_1,0.000000,0.000000,0.000000,0,0,0,249.942025,2
A3_meanpool_no_attention,cu0_du0du1,cu1_du2+cu2_du3du4du5,ANY,0.956757,1.000000,0.977901,177,8,0,,2
A3_meanpool_no_attention,cu1_du2,cu0_du0du1+cu2_du3du4du5,CU,0.541284,1.000000,0.702381,177,150,0,147.398044,2
A3_meanpool_no_attention,cu1_du2,cu0_du0du1+cu2_du3du4du5,DU_0,0.000000,0.000000,0.000000,0,0,0,170.466132,2
A3_meanpool_no_attention,cu1_du2,cu0_du0du1+cu2_du3du4du5,ANY,0.541284,1.000000,0.702381,177,150,0,,2
A3_meanpool_no_attention,cu2_du3du4du5,cu0_du0du1+cu1_du2,CU,0.951613,1.000000,0.975207,177,9,0,236.651309,2
