ablation,test_topology,train_topologies,entity,precision,recall,f1,tp,fp,fn,threshold,stress_type
A4_stateless_mlp,cu0_du0du1,cu1_du2+cu2_du3du4du5,CU,0.000000,0.000000,0.000000,0,3,0,252.884409,1
A4_stateless_mlp,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_0,0.926702,1.000000,0.961957,177,14,0,251.856011,1
A4_stateless_mlp,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_1,0.961957,1.000000,0.980609,177,7,0,251.856011,1
A4_stateless_mlp,cu0_du0du1,cu1_du2+cu2_du3du4du5,ANY,0.944000,1.000000,0.971193,354,21,0,,1
A4_stateless_mlp,cu1_du2,cu0_du0du1+cu2_du3du4du5,CU,0.000000,0.000000,0.000000,0,77,0,261.393337,1
A4_stateless_mlp,cu1_du2,cu0_du0du1+cu2_du3du4du5,DU_0,0.898477,1.000000,0.946524,177,20,0,264.770591,1
A4_stateless_mlp,cu1_du2,cu0_du0du1+cu2_du3du4du5,ANY,0.645985,1.000000,0.784922,177,97,0,,1
A4_stateless_mlp,cu2_du3du4du5,cu0_du0du1+cu1_du2,CU,0.000000,0.000000,0.000000,0,20,0,248.311155,1
A4_stateless_mlp,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_0,0.977901,1.000000,0.988827,177,4,0,245.928336,1
A4_stateless_mlp,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_1,0.972376,1.000000,0.985994,176,5,0,245.928336,1
A4_stateless_mlp,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_2,0.972527,1.000000,0.986072,177,5,0,245.928336,1
A4_stateless_mlp,cu2_du3du4du5,cu0_du0du1+cu1_du2,ANY,0.943060,1.000000,0.970696,530,32,0,,1
A4_stateless_mlp,cu0_du0du1,cu1_du2+cu2_du3du4du5,CU,0.977901,1.000000,0.988827,177,4,0,252.884409,1
A4_stateless_mlp,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_0,0.000000,0.000000,0.000000,0,2,0,251.856011,1
