ablation,test_topology,train_topologies,entity,precision,recall,f1,tp,fp,fn,threshold,stress_type
A5_no_hidden_layernorm,cu0_du0du1,cu1_du2+cu2_du3du4du5,CU,0.000000,0.000000,0.000000,0,0,0,241.766444,1
A5_no_hidden_layernorm,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_0,0.936508,1.000000,0.967213,177,12,0,243.989912,1
A5_no_hidden_layernorm,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_1,0.972527,1.000000,0.986072,177,5,0,243.989912,1
A5_no_hidden_layernorm,cu0_du0du1,cu1_du2+cu2_du3du4du5,ANY,0.954178,1.000000,0.976552,354,17,0,,1
A5_no_hidden_layernorm,cu1_du2,cu0_du0du1+cu2_du3du4du5,CU,0.000000,0.000000,0.000000,0,12,0,249.512653,1
A5_no_hidden_layernorm,cu1_du2,cu0_du0du1+cu2_du3du4du5,DU_0,0.967213,1.000000,0.983333,177,6,0,247.420914,1
A5_no_hidden_layernorm,cu1_du2,cu0_du0du1+cu2_du3du4du5,ANY,0.907692,1.000000,0.951613,177,18,0,,1
A5_no_hidden_layernorm,cu2_du3du4du5,cu0_du0du1+cu1_du2,CU,0.000000,0.000000,0.000000,0,22,0,247.614753,1
A5_no_hidden_layernorm,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_0,0.972527,1.000000,0.986072,177,5,0,235.816787,1
A5_no_hidden_layernorm,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_1,0.967033,1.000000,0.983240,176,6,0,235.816787,1
A5_no_hidden_layernorm,cu2_du3du4du5,cu0_du0du1+cu1_du2,DU_2,0.972527,1.000000,0.986072,177,5,0,235.816787,1
A5_no_hidden_layernorm,cu2_du3du4du5,cu0_du0du1+cu1_du2,ANY,0.941385,1.000000,0.969808,530,33,0,,1
A5_no_hidden_layernorm,cu0_du0du1,cu1_du2+cu2_du3du4du5,CU,0.977901,1.000000,0.988827,177,4,0,241.766444,1
A5_no_hidden_layernorm,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_0,0.000000,0.000000,0.000000,0,1,0,243.989912,1
A5_no_hidden_layernorm,cu0_du0du1,cu1_du2+cu2_du3du4du5,DU_1,0.000000,0.000000,0.000000,0,1,0,243.989912,1
A5_no_hidden_layernorm,cu0_du0du1,cu1_du2+cu2_du3du4du5,ANY,0.967213,1.000000,0.983333,177,6,0,,1
A5_no_hidden_layernorm,cu1_du2,cu0_du0du1+cu2_du3du4du5,CU,0.495798,1.000000,0.662921,177,180,0,249.512653,1
A5_no_hidden_layernorm,cu1_du2,cu0_du0du1+cu2_du3du4du5,DU_0,0.000000,0.000000,0.000000,0,1,0,247.420914,1
A5_no_hidden_layernorm,cu1_du2,cu0_du0du1+cu2_du3du4du5,ANY,0.495798,1.000000,0.662921,177,180,0,,1
A5_no_hidden_layernorm,cu2_du3du4du5,cu0_du0du1+cu1_du2,CU,0.292359,1.000000,0.452442,176,426,0,247.614753,1
